,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
true,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
pred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
skip, , , , , , , , , , , , , , , , , ,,,,,,,,
word,we're,,,,,,,,,,,,,,,,,,,,,,,,
true,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
pred,0,0,,,,,,,,,,,,,,,,,,,,,,,
skip, , ,,,,,,,,,,,,,,,,,,,,,,,
word,he,wrote,a,fulsome,#-page,autobiography,characteristically,entitled,virgil,thomson,on,virgil,thomson,and,a,personal,survey,american,music,since,#,appeared,in,#,followed
true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
pred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skip, , , , , , , , , , , , , , , , , , , , , , , , , 
word,i,want,one,,,,,,,,,,,,,,,,,,,,,,
true,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
pred,0,0,0,,,,,,,,,,,,,,,,,,,,,,
skip, , , ,,,,,,,,,,,,,,,,,,,,,,
word,it's,nearly,ready,,,,,,,,,,,,,,,,,,,,,,
true,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
pred,0,0,0,,,,,,,,,,,,,,,,,,,,,,
skip, , , ,,,,,,,,,,,,,,,,,,,,,,
word,no,,,,,,,,,,,,,,,,,,,,,,,,
true,0.0,,,,,,,,,,,,,,,,,,,,,,,,
pred,0,,,,,,,,,,,,,,,,,,,,,,,,
skip, ,,,,,,,,,,,,,,,,,,,,,,,,
word,he's,also,taken,an,agent,of,ours,with,him,,,,,,,,,,,,,,,,
true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
pred,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
skip, , , , , , , , , ,,,,,,,,,,,,,,,,
word,it's,forty,mile,an,hour,zone,anyway,so,he's,in,the,right,and,you're,in,the,wrong,anyway,,,,,,,
true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,
pred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
skip, , , , , , , , , , , , , , , , , , ,,,,,,,
word,she,,,,,,,,,,,,,,,,,,,,,,,,
true,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
pred,0,0,,,,,,,,,,,,,,,,,,,,,,,
skip, , ,,,,,,,,,,,,,,,,,,,,,,,
word,what,,,,,,,,,,,,,,,,,,,,,,,,
true,0.0,,,,,,,,,,,,,,,,,,,,,,,,
pred,0,,,,,,,,,,,,,,,,,,,,,,,,
skip, ,,,,,,,,,,,,,,,,,,,,,,,,
word,you,remember,that,tom,and,jerry,i,got,for,tim,,,,,,,,,,,,,,,
true,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
pred,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
skip, , , , , , , , , , ,,,,,,,,,,,,,,,
word,i'm,sure,she,can't,do,justice,to,your,designs,,,,,,,,,,,,,,,,
true,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
pred,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
skip, , , , , , , , , , ,,,,,,,,,,,,,,,
word,some,work,perry,#,suggested,associations,with,mental,illness,and,suicide,while,others,eg,wertheimer,and,leeper,#,have,examined,links,to,various,cancers,including
true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skip, , , , , , , , , , , , , , , , , , , , , , , , , 
word,lions,masai,all,equal,,,,,,,,,,,,,,,,,,,,,
true,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
pred,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
skip, , , , ,,,,,,,,,,,,,,,,,,,,,
word,return,to,your,family,and,children,,,,,,,,,,,,,,,,,,,
true,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
pred,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
skip, , , , , , ,,,,,,,,,,,,,,,,,,,
word,this,is,particularly,important,in,a,field,where,many,of,the,demands,made,by,users,are,highly,specialized,in,nature,,,,,
true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
pred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
skip, , , , , , , , , , , , , , , , , , , , ,,,,,
word,attempting,an,integration,policy,,,,,,,,,,,,,,,,,,,,,
true,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
pred,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
skip, , , , ,,,,,,,,,,,,,,,,,,,,,
word,well,i,ain't,had,a,on,the,same,rate,as,me,blue,they,should,have,the,same,like,mine,,,,,,
true,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
pred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
skip, , , , , , , , , , , , , , , , , , , ,,,,,,
word,other,health,concerns,which,might,merit,attention,by,those,involved,in,the,regional,research,laboratory,rrl,initiative,include,air,and,water,pollution,,,
true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
pred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
skip, , , , , , , , , , , , , , , , , , , , , , ,,,
word,king's,head,fulham,details,below,#pm,#,,,,,,,,,,,,,,,,,,
true,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
pred,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
skip, , , , , , , ,,,,,,,,,,,,,,,,,,
word,the,raw,materials,might,have,been,there,before,indeed,hadn't,it,been,she,arlene,who,had,spotted,them,,,,,,,
true,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,
pred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
skip, , , , , , , , , , , , , , , , , , ,,,,,,,
word,the,rain,came,down,and,the,floods,came,up,and,the,house,on,the,rocks,slid,down,but,the,foolish,man,built,his,house,upon
true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skip, , , , , , , , , , , , , , , , , , , , , , , , , 
word,the,plane,climbs,reluctantly,one,set,of,wings,dipping,drunkenly,,,,,,,,,,,,,,,
true,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,
pred,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
skip, , , , , , , , , , , ,,,,,,,,,,,,,,
word,this,was,a,night,in,their,minds,a,creature,from,the,darker,side,of,man's,intellect,,,,,,,,,
true,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,
pred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
skip, , , , , , , , , , , , , , , , ,,,,,,,,,
word,paula,laughed,,,,,,,,,,,,,,,,,,,,,,,
true,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
pred,0,0,,,,,,,,,,,,,,,,,,,,,,,
skip, , ,,,,,,,,,,,,,,,,,,,,,,,
word,i,shall,contact,the,agency,for,a,replacement,immediately,,,,,,,,,,,,,,,,
true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,
pred,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
skip, , , , , , , , , , ,,,,,,,,,,,,,,,
word,particular,attention,should,be,focused,on,hospital,incinerators,since,these,have,been,subject,to,crown,immunity,for,many,years,and,most,are,technically,ill-equipped,to
true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skip, , , , , , , , , , , , , , , , , , , , , , , , , 
word,are,those,erm,queuing,up,though,,,,,,,,,,,,,,,,,,,
true,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
pred,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
skip, , , , , , ,,,,,,,,,,,,,,,,,,,
word,modern,audiences,no,longer,accept,plastic,bushes,and,the,southern,californian,suburban,sprawl,means,the,production,companies,have,to,take,their,horses,and,cows,to
true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skip, , , , , , , , , , , , , , , , , , , , , , , , , 
word,he,is,,,,,,,,,,,,,,,,,,,,,,,
true,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
pred,0,0,,,,,,,,,,,,,,,,,,,,,,,
skip, , ,,,,,,,,,,,,,,,,,,,,,,,
word,yeah,,,,,,,,,,,,,,,,,,,,,,,,
true,0.0,,,,,,,,,,,,,,,,,,,,,,,,
pred,0,,,,,,,,,,,,,,,,,,,,,,,,
skip, ,,,,,,,,,,,,,,,,,,,,,,,,
word,whessoe,saw,pre-tax,profit,rise,to,#,million,from,#,million,on,sales,of,#,million,down,from,#,million,,,,,
true,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,
pred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
skip, , , , , , , , , , , , , , , , , , , , ,,,,,
word,er,we,saw,her,one,day,she,said,oh,i've,got,the,keys,by,the,way,,,,,,,,,
true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,
pred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
skip, , , , , , , , , , , , , , , , , ,,,,,,,,
word,keep,away,from,jasmine,already,thick,in,flower,bud,and,clematis,however,untidy,,,,,,,,,,,,
true,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
pred,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
skip, , , , , , , , , , , , , ,,,,,,,,,,,,
word,this,is,the,airing,cupboard,in,here,is,it,,,,,,,,,,,,,,,,
true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
pred,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
skip, , , , , , , , , ,,,,,,,,,,,,,,,,
word,he,was,thumbing,through,usa,today,for,the,umpteenth,time,looking,for,something,he,might,have,missed,when,he,heard,her,giggling,,,
true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,
pred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
skip, , , , , , , , , , , , , , , , , , , , , , ,,,
word,but,the,moray,firth,experiments,were,only,possible,after,the,naturalist,dr,david,bellamy,helped,secure,a,donation,from,the,co-operative,wholesale,society,,
true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,
pred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
skip, , , , , , , , , , , , , , , , , , , , , , , ,,
word,what,,,,,,,,,,,,,,,,,,,,,,,,
true,0.0,,,,,,,,,,,,,,,,,,,,,,,,
pred,0,,,,,,,,,,,,,,,,,,,,,,,,
skip, ,,,,,,,,,,,,,,,,,,,,,,,,
word,mm,,,,,,,,,,,,,,,,,,,,,,,,
true,0.0,,,,,,,,,,,,,,,,,,,,,,,,
pred,0,,,,,,,,,,,,,,,,,,,,,,,,
skip, ,,,,,,,,,,,,,,,,,,,,,,,,
word,i,have,been,watching,you,work,madame,mattli,said,directly,,,,,,,,,,,,,,,
true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,
pred,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
skip, , , , , , , , , , , ,,,,,,,,,,,,,,
word,back,room,stage,so,small,the,performers,have,to,rest,their,mike,stands,on,the,floor,in,front,,,,,,,
true,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
pred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
skip, , , , , , , , , , , , , , , , , , ,,,,,,,
word,yeah,yeah,,,,,,,,,,,,,,,,,,,,,,,
true,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
pred,0,0,,,,,,,,,,,,,,,,,,,,,,,
skip, , ,,,,,,,,,,,,,,,,,,,,,,,
word,for,for,the,chilly,days,,,,,,,,,,,,,,,,,,,,
true,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
pred,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
skip, , , , , ,,,,,,,,,,,,,,,,,,,,
word,he,could,well,have,returned,late,at,night,and,she,not,heard,him,though,she,had,stayed,awake,for,a,long,time,listening,for,the
true,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
pred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skip, , , , , , , , , , , , , , , , , , , , , , , , , 
word,john,i,hope,you,don't,mind,i,said,got,ta,call,he,said,you,,,,,,,,,,,
true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
pred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
skip, , , , , , , , , , , , , , , ,,,,,,,,,,
word,but,the,district,officer,miles,turnbull,would,not,accept,it,,,,,,,,,,,,,,,
true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
pred,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
skip, , , , , , , , , , ,,,,,,,,,,,,,,,
word,disturb,you,again,,,,,,,,,,,,,,,,,,,,,,
true,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
pred,0,0,0,,,,,,,,,,,,,,,,,,,,,,
skip, , , ,,,,,,,,,,,,,,,,,,,,,,
word,they,recalled,their,first,days,,,,,,,,,,,,,,,,,,,,
true,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
pred,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
skip, , , , , ,,,,,,,,,,,,,,,,,,,,
word,thinking,we'll,soon,get,them,and,save,you,carrying,it,tomorrow,then,,,,,,,,,,,,,
true,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
pred,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
skip, , , , , , , , , , , , , ,,,,,,,,,,,,
word,it,was,without,doubt,the,most,beautiful,thing,she,had,ever,owned,or,ever,would,,,,,,,,,,
true,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
pred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
skip, , , , , , , , , , , , , , , ,,,,,,,,,,
word,digital,data,occupy,a,central,position,in,this,applications,field,and,a,number,of,examples,are,given,to,illustrate,the,extent,to,which,their,development
true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skip, , , , , , , , , , , , , , , , , , , , , , , , , 
word,an,atmosphere,poisoned,by,mistrust,,,,,,,,,,,,,,,,,,,,
true,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
pred,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
skip, , , , , ,,,,,,,,,,,,,,,,,,,,
word,we,end,up,having,,,,,,,,,,,,,,,,,,,,,
true,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
pred,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
skip, , , , , ,,,,,,,,,,,,,,,,,,,,
word,oh,,,,,,,,,,,,,,,,,,,,,,,,
true,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
pred,0,0,,,,,,,,,,,,,,,,,,,,,,,
skip, , ,,,,,,,,,,,,,,,,,,,,,,,
word,oh,dear,they,can't,get,the,stuff,up,the,stairs,dear,,,,,,,,,,,,,,
true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
pred,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
skip, , , , , , , , , , , ,,,,,,,,,,,,,,
word,gis,research,into,site,selection,for,non-nuclear,hazardous,waste,has,been,almost,exclusively,conducted,in,north,america,and,has,yet,to,be,matched,in,the
true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skip, , , , , , , , , , , , , , , , , , , , , , , , , 
word,might,help,to,draw,it,,,,,,,,,,,,,,,,,,,,
true,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,
pred,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
skip, , , , , ,,,,,,,,,,,,,,,,,,,,
word,you,have,killed,a,lion,,,,,,,,,,,,,,,,,,,,
true,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
pred,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
skip, , , , , ,,,,,,,,,,,,,,,,,,,,
word,the,processes,themselves,,,,,,,,,,,,,,,,,,,,,,
true,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
pred,0,0,0,,,,,,,,,,,,,,,,,,,,,,
skip, , , ,,,,,,,,,,,,,,,,,,,,,,
word,he,spoke,and,evidently,felt,strongly,of,the,degradation,that,it,would,have,been,to,the,parry,to,have,elected,a,leader,by,secret,ballot
true,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skip, , , , , , , , , , , , , , , , , , , , , , , , , 
word,the,structure,of,the,english,law,of,homicide,is,rather,strange,,,,,,,,,,,,,,
true,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
pred,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
skip, , , , , , , , , , , ,,,,,,,,,,,,,,
word,you,never,know,,,,,,,,,,,,,,,,,,,,,,
true,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
pred,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
skip, , , , ,,,,,,,,,,,,,,,,,,,,,
word,yeah,you,can,talk,and,,,,,,,,,,,,,,,,,,,,
true,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
pred,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
skip, , , , , ,,,,,,,,,,,,,,,,,,,,
word,to,encourage,the,maintenance,of,or,where,appropriate,a,reduction,to,a,personally,and,socially,safe,level,of,alcohol,unit,intake,,,,
true,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
pred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
skip, , , , , , , , , , , , , , , , , , , , , ,,,,
word,oh,there,,,,,,,,,,,,,,,,,,,,,,,
true,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
pred,0,0,0,,,,,,,,,,,,,,,,,,,,,,
skip, , , ,,,,,,,,,,,,,,,,,,,,,,
word,erm,i'll,give,you,those,,,,,,,,,,,,,,,,,,,,
true,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
pred,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
skip, , , , , , ,,,,,,,,,,,,,,,,,,,
word,just,turn,them,off,and,that's,it,just,normal,conversations,the,words,that,people,use,in,common,different,areas,of,the,country,with,accents,and
true,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
pred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skip, , , , , , , , , , , , , , , , , , , , , , , , , 
word,for,example,can,hazards,really,be,thought,of,as,having,any,intentionality,,,,,,,,,,,,,
true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
pred,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
skip, , , , , , , , , , , , ,,,,,,,,,,,,,
word,nothing,exciting,really,,,,,,,,,,,,,,,,,,,,,,
true,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
pred,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
skip, , , , ,,,,,,,,,,,,,,,,,,,,,
word,beneath,the,filmy,topcoat,he,wore,a,black,shirt,and,black,trousers,that,were,tucked,into,tall,black,boots,,,,,,
true,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
pred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
skip, , , , , , , , , , , , , , , , , , , ,,,,,,
word,oh,we're,being,,,,,,,,,,,,,,,,,,,,,,
true,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
pred,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
skip, , , , ,,,,,,,,,,,,,,,,,,,,,
word,first,we,shall,assume,that,the,current,density,is,confined,to,a,thin,wire,in,which,case,the,integration,variable,may,be,changed,to,[formula]
true,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
pred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skip, , , , , , , , , , , , , , , , , , , , , , , , , 
word,he,has,had,plenty,of,time,,,,,,,,,,,,,,,,,,,
true,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
