,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
skip, , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,
word,in,september,2009,",",the,oecd,removed,san,marino,from,its,list,of,tax,havens,that,have,yet,to,fully,implement,global,tax,standards,",",and,in,2010,san,marino,signed,tax,information,exchange,agreements,with,most,major,countries,,,,,,,,,
pos,IN,NNP,CD,",",DT,NNP,VBD,NNP,NNP,IN,PRP$,NN,IN,NN,NNS,WDT,VBP,RB,TO,RB,VB,JJ,NN,NNS,",",CC,IN,CD,NNP,NNP,VBD,NNP,NNP,NNP,NNPS,IN,JJS,JJ,NNS,,,,,,,,,
true,O,B-tim,I-tim,O,O,B-org,O,B-geo,I-geo,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-tim,B-geo,I-geo,O,B-org,I-org,I-org,I-org,O,O,O,O,,,,,,,,,
pred,O,B-tim,I-tim,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-tim,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,
word,sunday,'s,election,",",which,also,selected,166,members,of,the,lower,house,",",was,widely,viewed,as,a,test,of,mr.,uribe,'s,popularity,,,,,,,,,,,,,,,,,,,,,,,
pos,NNP,POS,NN,",",WDT,RB,VBD,CD,NNS,IN,DT,JJR,NN,",",VBD,RB,VBN,IN,DT,NN,IN,NNP,NNP,POS,NN,,,,,,,,,,,,,,,,,,,,,,,
true,B-tim,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-per,I-per,O,O,,,,,,,,,,,,,,,,,,,,,,,
pred,B-tim,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-per,I-per,O,O,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,
word,recognizing,the,importance,of,preserving,the,marine,stocks,in,adjacent,waters,",",the,uk,",",in,1993,",",extended,the,exclusive,fishing,zone,from,12,nm,to,200,nm,around,each,island,,,,,,,,,,,,,,,,
pos,VBG,DT,NN,IN,VBG,DT,JJ,NNS,IN,JJ,NNS,",",DT,NNP,",",IN,CD,",",VBD,DT,JJ,NN,NN,IN,CD,NN,TO,CD,NN,IN,DT,NN,,,,,,,,,,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,O,B-org,O,O,B-tim,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-tim,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,
word,the,united,nations,is,trying,to,raise,$,56,million,to,fund,a,genocide,tribunal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,DT,NNP,NNP,VBZ,VBG,TO,VB,$,CD,CD,TO,VB,DT,NN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,O,B-org,I-org,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word,earlier,this,week,",",venezuelan,vice,president,jose,rangel,said,his,country,is,buying,the,weapons,to,strengthen,its,national,security,and,that,the,purchase,should,not,concern,washington,,,,,,,,,,,,,,,,,,,
pos,RBR,DT,NN,",",JJ,NNP,NNP,NNP,NNP,VBD,PRP$,NN,VBZ,VBG,DT,NNS,TO,VB,PRP$,JJ,NN,CC,IN,DT,NN,MD,RB,VB,NNP,,,,,,,,,,,,,,,,,,,
true,O,O,O,O,B-gpe,B-per,I-per,I-per,I-per,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-gpe,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,B-gpe,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,
word,the,nba,season,is,so,long,the,players,seldom,get,time,to,spend,at,home,with,their,butlers,and,chauffeurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,DT,NNP,NN,VBZ,RB,RB,DT,NNS,RB,VBP,NN,TO,VB,IN,NN,IN,PRP$,NNS,CC,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,O,B-org,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word,the,fighting,",",in,the,eastern,muslim,town,of,muttur,in,trincomalee,province,",",was,described,as,the,worst,since,a,cease-fire,was,agreed,to,more,than,four,years,ago,,,,,,,,,,,,,,,,,,
pos,DT,NN,",",IN,DT,JJ,NNP,NN,IN,NNP,IN,NNP,NN,",",VBD,VBN,IN,DT,JJS,IN,DT,NN,VBD,VBN,TO,JJR,IN,CD,NNS,RB,,,,,,,,,,,,,,,,,,
true,O,O,O,O,O,O,B-geo,O,O,B-org,O,B-geo,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-tim,O,O,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,
word,last,year,",",afghanistan,discovered,cases,of,the,h5n1,virus,in,birds,",",but,not,humans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,JJ,NN,",",NNP,VBD,NNS,IN,DT,NNP,NN,IN,NNS,",",CC,RB,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,O,O,O,B-org,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,B-gpe,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word,he,said,conditions,were,different,in,the,january,elections,for,a,transitional,government,",",when,coalition,troops,controlled,security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,PRP,VBD,NNS,VBD,JJ,IN,DT,NNP,NNS,IN,DT,JJ,NN,",",WRB,NN,NNS,VBN,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,O,O,O,O,O,O,O,B-tim,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,B-tim,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word,italy,'s,military,plans,to,deploy,more,than,2000,soldiers,in,the,coming,months,to,the,international,force,that,will,include,some,15000,personnel,,,,,,,,,,,,,,,,,,,,,,,,
pos,NNP,POS,JJ,NNS,TO,VB,JJR,IN,CD,NNS,IN,DT,VBG,NNS,TO,DT,JJ,NN,WDT,MD,VB,DT,CD,NNS,,,,,,,,,,,,,,,,,,,,,,,,
true,B-geo,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
word,airbus,is,preparing,its,new,a-380,superjumbo,jet,for,service,beginning,next,year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,NNP,VBZ,VBG,PRP$,JJ,NN,NN,NN,IN,NN,VBG,JJ,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,B-org,O,O,O,O,O,O,O,O,O,B-tim,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word,some,pakistani,madrassas,are,seen,as,breeding,grounds,for,militants,fighting,foreign,forces,in,afghanistan,and,opposed,to,pakistani,support,for,u.s.,efforts,against,terrorism,,,,,,,,,,,,,,,,,,,,,,,
pos,DT,JJ,NNS,VBP,VBN,IN,NN,NNS,IN,NNS,VBG,JJ,NNS,IN,NNP,CC,VBN,TO,JJ,NN,IN,NNP,NNS,IN,NN,,,,,,,,,,,,,,,,,,,,,,,
true,O,B-gpe,O,O,O,O,O,O,O,O,O,O,O,O,B-geo,O,O,O,B-gpe,O,O,B-geo,O,O,O,,,,,,,,,,,,,,,,,,,,,,,
pred,O,B-gpe,O,O,O,O,O,O,O,O,O,O,O,O,B-gpe,O,O,O,O,O,O,B-gpe,O,O,O,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,
word,the,announcement,is,a,big,blow,to,belgium,'s,fed,cup,hopes,because,world,number,three,kim,clijsters,announced,that,she,would,also,skip,the,competition,if,henin-hardenne,does,not,play,,,,,,,,,,,,,,,,,
pos,DT,NN,VBZ,DT,JJ,NN,TO,NNP,POS,NNP,NNP,VBZ,IN,NN,NN,CD,NNP,NNP,VBD,IN,PRP,MD,RB,VB,DT,NN,IN,NNP,VBZ,RB,VB,,,,,,,,,,,,,,,,,
true,O,O,O,O,O,O,O,B-org,I-org,I-org,I-org,O,O,O,O,O,B-per,I-per,O,O,O,O,O,O,O,O,O,B-per,O,O,O,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,B-gpe,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,
word,gunmen,abducted,ms.,sgrena,outside,a,baghdad,mosque,on,february,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,NNS,VBD,NNP,NNP,IN,DT,NNP,NN,IN,NNP,CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,O,O,B-per,I-per,O,O,B-geo,O,O,B-tim,I-tim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,B-per,O,O,O,O,O,O,B-tim,I-tim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word,sixty,years,ago,",",fifteen-year,old,roman,ferencevych,lived,through,the,waning,months,of,world,war,ii,in,war-shattered,berlin,",",far,from,his,native,ukraine,,,,,,,,,,,,,,,,,,,,,,
pos,CD,NNS,RB,",",JJ,JJ,NNP,NNP,VBD,IN,DT,VBG,NNS,IN,NNP,NNP,NNP,IN,JJ,NNP,",",RB,IN,PRP$,JJ,NNP,,,,,,,,,,,,,,,,,,,,,,
true,B-tim,O,O,O,O,O,B-per,I-per,O,O,O,O,O,O,B-eve,I-eve,I-eve,O,O,B-geo,O,O,O,O,O,B-geo,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-geo,I-geo,O,O,O,O,O,B-geo,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,
word,officials,say,the,separatists,have,given,up,their,demand,for,independence,from,indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,NNS,VBP,DT,NNS,VBP,VBN,RP,PRP$,NN,IN,NN,IN,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,O,O,O,O,O,O,O,O,O,O,O,O,B-geo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,B-geo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word,security,officials,say,the,french,tourists,were,picnicking,on,the,side,of,the,highway,outside,of,aleg,when,a,group,of,gunmen,pulled,up,and,demanded,money,,,,,,,,,,,,,,,,,,,,,
pos,NN,NNS,VBP,DT,JJ,NNS,VBD,VBG,IN,DT,NN,IN,DT,NN,IN,IN,NNP,WRB,DT,NN,IN,NNS,VBD,RB,CC,VBD,NN,,,,,,,,,,,,,,,,,,,,,
true,O,O,O,O,B-gpe,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,B-gpe,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,
word,the,countries,that,gained,eu,membership,in,2004,are,cyprus,",",the,czech,republic,",",estonia,",",hungary,",",latvia,",",lithuania,",",malta,",",poland,",",slovakia,and,slovenia,,,,,,,,,,,,,,,,,,
pos,DT,NNS,WDT,VBD,NNP,NN,IN,CD,VBP,NNP,",",DT,JJ,NNP,",",NNP,",",NNP,",",NNP,",",NNP,",",NNP,",",NNP,",",NNP,CC,NNP,,,,,,,,,,,,,,,,,,
true,O,O,O,O,B-org,O,O,B-tim,O,B-geo,O,O,B-gpe,B-geo,O,B-geo,O,B-geo,O,B-geo,O,B-geo,O,B-geo,O,B-geo,O,B-geo,O,B-geo,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,B-tim,O,O,O,O,O,O,O,B-gpe,O,B-gpe,O,B-gpe,O,B-gpe,O,B-gpe,O,B-gpe,O,B-gpe,O,B-gpe,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,
word,washington,has,accused,tehran,of,aiding,shi'ite,militants,involved,in,sectarian,attacks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,NNP,VBZ,VBN,NNP,IN,VBG,NNP,NNS,VBN,IN,JJ,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,B-geo,O,O,B-org,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word,elsewhere,in,pakistan,",",at,least,six,people,have,been,wounded,by,an,explosion,in,southwestern,pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,RB,IN,NNP,",",IN,JJS,CD,NNS,VBP,VBN,VBN,IN,DT,NN,IN,JJ,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,O,O,B-geo,O,O,O,O,O,O,O,O,O,O,O,O,O,B-geo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,B-gpe,O,O,O,O,O,O,O,O,O,O,O,O,O,B-gpe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word,with,the,victory,",",the,dutch,will,join,australia,",",argentina,and,germany,in,group,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,IN,DT,NN,",",DT,NNS,MD,VB,NNP,",",NNP,CC,NNP,IN,NNP,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,O,O,O,O,O,B-gpe,O,O,B-geo,O,B-geo,O,B-geo,O,B-org,I-org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,B-gpe,O,O,B-gpe,O,B-gpe,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word,australia,'s,cricket,team,has,scored,351-7,declared,in,its,second,innings,",",leaving,india,a,massive,target,of,nearly,500,runs,after,the,third,day,of,their,first,test,in,melbourne,,,,,,,,,,,,,,,,
pos,NNP,POS,NN,NN,VBZ,VBN,CD,VBN,IN,PRP$,JJ,NN,",",VBG,NNP,DT,JJ,NN,IN,RB,CD,NNS,IN,DT,JJ,NN,IN,PRP$,JJ,NN,IN,NNP,,,,,,,,,,,,,,,,
true,B-gpe,O,O,O,O,O,O,O,O,O,O,O,O,O,B-geo,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-geo,,,,,,,,,,,,,,,,
pred,B-gpe,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,
word,hear,music,releases,will,be,sold,through,starbucks,stores,and,other,music,retailers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,NNP,NNP,NNS,MD,VB,VBN,IN,NNP,NNS,CC,JJ,NN,NNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,B-org,I-org,O,O,O,O,O,B-per,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word,the,srebrenica,killings,are,considered,the,worst,european,massacre,since,world,war,ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,DT,NNP,NNS,VBP,VBN,DT,JJS,JJ,NN,IN,NNP,NNP,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,O,B-geo,O,O,O,O,O,O,O,O,B-eve,I-eve,I-eve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word,moiseyev,established,his,professional,folk,dance,group,",",the,moiseyev,dance,company,",",in,1937,and,remained,at,its,helm,for,six,decades,,,,,,,,,,,,,,,,,,,,,,,,,
pos,NNP,VBD,PRP$,JJ,NN,NN,NN,",",DT,NNP,NNP,NNP,",",IN,CD,CC,VBD,IN,PRP$,NN,IN,CD,NNS,,,,,,,,,,,,,,,,,,,,,,,,,
true,B-per,O,O,O,O,O,O,O,O,B-org,I-org,I-org,O,O,B-tim,O,O,O,O,O,O,B-tim,I-tim,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,O,O,O,O,O,B-tim,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
word,steve,mort,reports,for,voa,from,rio,de,janeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,NNP,NNP,VBZ,IN,NNP,IN,NNP,NNP,NNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,B-per,I-per,O,O,B-org,O,B-geo,I-geo,I-geo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word,world,bank,president,paul,wolfowitz,is,in,rwanda,thursday,",",for,the,third,stop,in,his,four-nation,african,tour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,NNP,NNP,NNP,NNP,NNP,VBZ,IN,NNP,NNP,",",IN,DT,JJ,NN,IN,PRP$,JJ,JJ,NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,O,B-org,B-per,I-per,I-per,O,O,B-geo,B-tim,O,O,O,O,O,O,O,O,B-gpe,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,O,O,O,O,O,B-geo,B-tim,O,O,O,O,O,O,O,O,B-gpe,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word,he,said,pakistani,president,pervez,musharraf,agreed,to,give,tribal,leaders,more,responsibility,for,policing,their,areas,",",but,their,efforts,were,unsuccessful,,,,,,,,,,,,,,,,,,,,,,,,,
pos,PRP,VBD,JJ,NNP,NNP,NNP,VBD,TO,VB,JJ,NNS,RBR,NN,IN,VBG,PRP$,NNS,",",CC,PRP$,NNS,VBD,JJ,,,,,,,,,,,,,,,,,,,,,,,,,
true,O,O,B-gpe,B-per,I-per,I-per,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,
pred,O,O,B-gpe,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,
word,at,wednesday,'s,unveiling,of,the,report,in,moscow,",",unicef,director,carol,bellamy,said,poverty,leads,to,poor,nutrition,and,sick,children,",",as,well,as,young,people,not,being,able,to,attend,school,,,,,,,,,,,,,
pos,IN,NNP,POS,NN,IN,DT,NN,IN,NNP,",",NNP,NN,NNP,NNP,VBD,NN,VBZ,TO,JJ,NN,CC,JJ,NNS,",",RB,RB,IN,JJ,NNS,RB,VBG,JJ,TO,VB,NN,,,,,,,,,,,,,
true,O,B-tim,O,O,O,O,O,O,B-geo,O,B-org,O,B-per,I-per,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,
pred,O,B-tim,O,O,O,O,O,O,B-tim,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,,,,,,,,,,,,,
skip, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,,,,,,,,,,,,,
